Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-117,(5) First Construction Document Issued,830 Eddy & 815 Van Ness,830,Eddy & 815 Van Ness,St,94109,0738,018,5,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-09-07T00:00:00.000,2019-09-30T00:00:00.000,2019-09-30T00:00:00.000,2021-11-23T00:00:00.000,Build Inc,,,2015-009460PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-009460PRJ'},"2015-009460CUA,2015-009460ENV,2015-009460PPA,2015-009460SHD",2016-12-08T00:00:00.000,On-site BMR Project,137,20,117,15.00,0,4,10,6,0,0,0,0,0,,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,37.783092690000,-122.421500997999,"{'latitude': '37.78309269', 'longitude': '-122.421500997999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-132,(1) Preliminary Phase,"HPSY, Block 1 (Rental)",0,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,HP Shipyard Phase 1,New Construction,Rental,,2021-07-01T00:00:00.000,,,2021-07-01T00:00:00.000,2022-12-23T00:00:00.000,1899-12-31T00:00:00.000,,,Not Applicable,,,,,174,18,156,10.0,0,0,0,0,0,0,0,0,0,,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,37.729497063000,-122.370224646999,"{'latitude': '37.729497063', 'longitude': '-122.370224646999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-010,(1) Preliminary Phase,725 Harrison St (Land Dedication Site),725,Harrison,St,94107,3762,"108, 109, 117",6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,120,119,1,99.00,0,0,0,0,0,0,0,0,0,,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,37.781890000000,-122.397720000000,"{'latitude': '37.78189', 'longitude': '-122.39772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2010-005,(4) Site Work Permit Issued,2340 San Jose (Balboa Park Upper Yard),2340,San Jose,Ave,94112,6973,039,11,Outer Mission,Ocean View,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2021-04-15T00:00:00.000,2019-01-31T00:00:00.000,,2021-04-15T00:00:00.000,2023-05-01T00:00:00.000,Related California,Mission Housing Development Corporation,Balboa Park Hosuing Partners L.P.,2017-012151PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2017-012151PRJ'},"2017-012151ENV,2017-012151GPR,2017-012151PPA",,,131,130,1,99.00,0,7,47,61,15,0,0,13,1,2bd,130,0,0,0,0,0,39,0,0,27,62,0,5,24,0,0,12,0,0,0,0,0,37.720294332000,-122.447278135999,"{'latitude': '37.720294332', 'longitude': '-122.447278135999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-007,(3) Design with Entitlements Approved,1228 Folsom (725 Clementina),1228,Folsom,St,94103,3729,011,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2019-01-04T00:00:00.000,2021-02-27T00:00:00.000,RG Architecture,,,2014.0964,{'url': 'http://propertymap.sfplanning.org/?search=2014.0964'},"2014.0964ENV,2014.0964ENX,2014.0964GEN-02,2014.0964PPA,2014.0964U,2014.0964VAR",2017-01-05T00:00:00.000,On-site BMR Project,24,3,21,13.00,0,0,2,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.774809017000,-122.410902859999,"{'latitude': '37.774809017', 'longitude': '-122.410902859999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-015,(6) Complete,Barcelona Apts,270,Turk,St,94102,0338,010,6,Tenderloin,Downtown/Civic Center,MOHCD,Big Sites Program,0,Rehabilitation,Rental,2019-03-19T00:00:00.000,2019-08-01T00:00:00.000,,,2019-08-01T00:00:00.000,2020-08-15T00:00:00.000,Tenderloin Neighborhood Development Corporation,,,2017-015701PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2017-015701PRJ'},,,,86,86,0,100,19,50,17,0,0,0,0,0,0,,86,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,37.783140000000,-122.413610000000,"{'latitude': '37.78314', 'longitude': '-122.41361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-003,(5) First Construction Document Issued,2260 Mission St,2260,Mission,St,94110,3589,011,9,Mission,Mission,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2020-01-30T00:00:00.000,2020-06-01T00:00:00.000,,,2020-06-01T00:00:00.000,2021-04-30T00:00:00.000,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,6,6,0,100,0,4,2,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.760850000000,-122.419550000000,"{'latitude': '37.76085', 'longitude': '-122.41955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-129,(3) Design with Entitlements Approved,CP-9a South,89,Harney,Way,94124,5000,035,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,2023-07-01T00:00:00.000,,,2023-07-01T00:00:00.000,2023-12-23T00:00:00.000,,,,Not Applicable,,,2017-05-16T00:00:00.000,,124,13,111,10.0,0,0,0,0,0,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.711795552000,-122.384636276999,"{'latitude': '37.711795552', 'longitude': '-122.384636276999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2012-006,(2) Predevelopment Feasibility,Alice Griffith Phase 6 (Block 9),,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,HOPE SF,Candlestick Point,New Construction,Rental,,2026-06-01T00:00:00.000,,,2026-06-01T00:00:00.000,2028-06-01T00:00:00.000,McCormack Baron Salazar,,Entity to be formed,Not Applicable,,,,,131,130,1,99.00,0,0,130,0,0,0,0,13,1,2bd,0,130,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,37.718812801000,-122.386750480999,"{'latitude': '37.718812801', 'longitude': '-122.386750480999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-021,(5) First Construction Document Issued,1066 Market,1066,Market,St,94102,0350,003,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2017-11-29T00:00:00.000,2018-04-24T00:00:00.000,2018-04-24T00:00:00.000,2020-04-24T00:00:00.000,,,,2013.1753,{'url': 'http://propertymap.sfplanning.org/?search=2013.1753'},"2013.1753C,2013.1753E,2013.1753PCA,2013.1753U,2013.1753V,2013.1753X",2016-06-16T00:00:00.000,Land Dedication,304,0,304,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.781799008000,-122.411741590999,"{'latitude': '37.781799008', 'longitude': '-122.411741590999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-036,(5) First Construction Document Issued,Treasure Island C3.2 Maceo May Apartments,401,Avenue of the Palms,,94130,8901,005,6,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2020-04-27T00:00:00.000,2019-04-08T00:00:00.000,2019-07-15T00:00:00.000,2019-07-15T00:00:00.000,2022-02-28T00:00:00.000,Chinatown Community Development Center,Swords to Plowshares,"Maceo May Apts, LP",2007.0903,{'url': 'http://propertymap.sfplanning.org/?search=2007.0903'},,,,105,104,1,99.00,0,24,47,33,0,0,0,0,1,2bd,104,0,0,103,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,37.820959434000,-122.372780387999,"{'latitude': '37.820959434', 'longitude': '-122.372780387999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-063,(6) Complete,37 Grace,37,Grace,St,94103,3509,026,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-03-30T00:00:00.000,2018-07-03T00:00:00.000,2018-07-03T00:00:00.000,2021-01-08T00:00:00.000,D-Sheme Studio Architects,,,2014-002016PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-002016PRJ'},"12059PRV,2014-002016ENV,2014-002016PPA,2014-002016VAR",2017-10-13T00:00:00.000,Fee Payment,11,0,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.775157176000,-122.414565016999,"{'latitude': '37.775157176', 'longitude': '-122.414565016999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-006,(5) First Construction Document Issued,555 Golden Gate,555,Golden Gate,Ave,94102,0766,010,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2019-01-18T00:00:00.000,2019-05-13T00:00:00.000,2019-05-13T00:00:00.000,2021-07-06T00:00:00.000,JS Sullivan Development,,,2014.1102,{'url': 'http://propertymap.sfplanning.org/?search=2014.1102'},"2014.1102CUA,2014.1102E,2014.1102PPA,2014.1102SHD,2014.1102TDM,2014.1102U,2014.1102VAR",2018-05-17T00:00:00.000,On-site BMR Project,55,7,48,13.00,0,0,2,5,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37.780875642000,-122.419596940999,"{'latitude': '37.780875642', 'longitude': '-122.419596940999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-016,(4) Site Work Permit Issued,2750 19th St,2750,19th,St,94110,4023,004A,10,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2020-04-15T00:00:00.000,,2020-10-14T00:00:00.000,2022-12-08T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2014-001400ENX,{'url': 'http://propertymap.sfplanning.org/?search=2014-001400ENX'},,2018-08-23T00:00:00.000,On-site BMR Project,60,11,49,18.00,0,0,6,5,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,37.760799555000,-122.409716033999,"{'latitude': '37.760799555', 'longitude': '-122.409716033999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-001,(3) Design with Entitlements Approved,266 4th St (4th and Folsom),266,4th,St,94103,3733,093,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2022-01-15T00:00:00.000,,,2022-01-15T00:00:00.000,2023-10-31T00:00:00.000,Tenderloin Neighborhood Development Corporation,,"4th & Folsom Associates, L.P.",2019-014414PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2019-014414PRJ'},,,,70,69,1,99.00,0,31,10,28,0,0,0,2,1,2bd,69,0,0,35,0,35,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,37.782078573000,-122.401661288999,"{'latitude': '37.782078573', 'longitude': '-122.401661288999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-019,(1) Preliminary Phase,Balboa Reservoir Building A,,Address not yet assigned,,94112,0,0,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,BRIDGE Housing Corporation,,,Not Yet Available,,,,,181,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0E-12,0E-12,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-052d,(2) Predevelopment Feasibility,SFHA Scattered Sites - Noe,363,Noe,St,94114,3564,70,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-10-01T00:00:00.000,,,2021-10-01T00:00:00.000,2023-01-15T00:00:00.000,Mission Housing Development Corporation,,San Francisco Housing Authority until transfer to MHDC affiliated L.P.,Not Applicable,,,,,22,21,1,95.00,0,19,2,0,0,0,0,0,1,1bd,0,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,37.763170000000,-122.432960000000,"{'latitude': '37.76317', 'longitude': '-122.43296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-041,(2) Predevelopment Feasibility,Knox SRO,241,6th,St,94103,3632,078,6,South of Market,South of Market,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-12-01T00:00:00.000,,,2021-12-01T00:00:00.000,2022-07-01T00:00:00.000,Tenants and Owners Development Corporation,,Knox Partners Limited Partnership,Not Applicable,,,,,140,138,2,99.00,138,0,0,0,0,0,0,0,1,SRO,138,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,37.779374728000,-122.406258355999,"{'latitude': '37.779374728', 'longitude': '-122.406258355999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-007,(6) Complete,Edwin M Lee Apts (Mission Bay South 3E),1150,3rd,St,94158,8711,026,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,2017-12-01T00:00:00.000,2017-06-14T00:00:00.000,2017-12-26T00:00:00.000,2017-12-26T00:00:00.000,2020-06-17T00:00:00.000,Chinatown Community Development Center,Swords to Plowshares,MB3E LP,Not Applicable,,,,,119,118,1,99.00,0,12,55,30,21,0,0,0,1,2bd,118,0,0,62,0,0,0,0,62,0,33,0,23,0,0,0,0,0,0,0,0,0,37.773301511000,-122.390238072999,"{'latitude': '37.773301511', 'longitude': '-122.390238072999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-025,(3) Design with Entitlements Approved,3945 Judah St,3945,Judah,St,94122,1809,023,4,Sunset/Parkside,Outer Sunset,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2021-11-05T00:00:00.000,2023-12-30T00:00:00.000,Michael Leavitt Architecture,,"3945 Judah Street, LLC",2018-000468PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-000468PRJ'},,2019-11-07T00:00:00.000,On-site BMR Project,20,5,15,25.00,0,0,3,2,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,37.760310000000,-122.504400000000,"{'latitude': '37.76031', 'longitude': '-122.5044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-016,(2) Predevelopment Feasibility,Hunters View Phase III (Blocks 14 & 17),1151,Fairfax,Ave,94124,4624,033,10,Bayview Hunters Point,Bayview,MOHCD,HOPE SF,0,New Construction,Rental,,2021-11-01T00:00:00.000,,,2021-11-01T00:00:00.000,2023-05-01T00:00:00.000,John Stewart Company,Devine & Gong / Ridgepoint,"HV Partners 3, LP",2019-017795PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2019-017795PRJ'},,,,118,117,1,99.00,0,0,49,13,16,34,5,14,1,2bd,117,0,0,0,0,0,53,0,0,0,97,0,0,20,0,0,0,0,0,0,0,0,37.737450000000,-122.381230000000,"{'latitude': '37.73745', 'longitude': '-122.38123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2013-014,(6) Complete,1601 Mariposa,1601,Mariposa,St,94107,4005A,"002, 003",10,Potrero Hill,Potrero Hill,MOHCD,Bond Financed Inclusionary Housing,0,New Construction,Rental,,,2016-09-12T00:00:00.000,2017-07-18T00:00:00.000,2017-07-18T00:00:00.000,2020-09-03T00:00:00.000,Related California,,"Mariposa Housing Partners, LLC",2012.1398,{'url': 'http://propertymap.sfplanning.org/?search=2012.1398'},"2012.1398CND,2012.1398E,2012.1398E_3,2012.1398E_5,2012.1398K,2012.1398PPA,2012.1398U,2012.1398X",2015-11-12T00:00:00.000,On-site BMR Project,299,60,239,20.0,0,14,22,22,2,0,0,0,0,,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,37.763011331000,-122.399486332999,"{'latitude': '37.763011331', 'longitude': '-122.399486332999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-015,(3) Design with Entitlements Approved,255 Shipley St,255,Shipley,St,94017,3753,070,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2020-08-21T00:00:00.000,2022-10-15T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2016-012030PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-012030PRJ'},"2016-012030ENV,2016-012030ENX,2016-012030PPA",2018-08-23T00:00:00.000,On-site BMR Project,24,3,21,13.00,0,2,0,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37.778662131000,-122.403813121999,"{'latitude': '37.778662131', 'longitude': '-122.403813121999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-112,(3) Design with Entitlements Approved,524 Howard,524,Howard,St,94105,3721,013,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2018-11-02T00:00:00.000,2020-12-26T00:00:00.000,"J. Abrams Law, PC",,,2013.0882,{'url': 'http://propertymap.sfplanning.org/?search=2013.0882'},"2013.0882DNX,2013.0882ENV,2013.0882SHD,2013.0882U,2013.0882VAR",2016-11-03T00:00:00.000,On-site BMR Project,334,50,284,15.00,0,0,0,0,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,37.788223205000,-122.397017402999,"{'latitude': '37.788223205', 'longitude': '-122.397017402999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
